Turma;Ano de Ingresso;Ano Egresso;Você está empregado no Einstein?;Você está empregado na área em que se formou?;Se sim, em qual instituição?;Em qual cargo?;Progressão de carreira;Caso esteja empregado, em qual unidade/setor está trabalhando?;Curso;Formação;Lyceum (Sit Aluno);Situação do aluno;Pendência;Motivo do cancelamento;Data do cancelamento;Mês do cancelamento;Data de reabertura;Observação;Respondeu a pesquisa?;O docente indica?;Pretende iniciar alguma graduação?;Local de trabalho;tratativa de repetido
AC21N1S;fev/21;dez/22;Sim;Sim;Hospital Israelita Albert Einstein;Laboratorista;;Einstein Morumbi, Departamento de Hemoterapia e Terapia Celular;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Concluido;Aprovado;;;;;;participou de processo seletvio no Banco de sangue do Einstein, está aguardando resultado (02/01/24);;;;;sim
RAD21N1S;fev/21;dez/21;Sim;Não;Hospital Israelita Albert Einstein;Representante Serviço Atendimento II;;Faria Lima - Call Center;Curso Técnico em Radiologia ;Técnico em Radiologia;Concluido;Aprovado;Reprovada RD12N em Tec Radiológicas I;;;;;Já era contratado da instituição antes do curso;;;;Einstein;sim
8N;fev/19;dez/20;Sim;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;Morumbi - UTI;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
8NA/8NB;fev/19;dez/20;Sim;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;Morumbi - UTI;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Concluido;Aprovado;;;;;;;;;;;
ENF EURO 3T;ago/18;jun/20;;Sim;HMVSC;Auxiliar de Enfermagem;;Obstretícia ;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
ENF20N2S;ago/20;jun/22;Sim;Sim;Hospital Israelita Albert Einstein;Auxiliar Enfermagem;;Unidade de Internação 13º andar Bloco D;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;O celular não recebe chamada;Não;;;Einstein;sim
ENF21T1S;fev/21;dez/22;;Não;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Ativo;Cancelado;;Saúde;03/02/2022;;;Cancelou e reingressou na turma 22M1S;;;;;sim
ENF22M1S;fev/22;dez/23;;Não;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Ativo;Cancelado;Vai fazer Oncologia e pediatria no primeiro semestre.;;;;;Era da turma 21T1S;;;;;
ENF EURO 3T;ago/18;jun/20;;Sim;Clínica Notrelabs ;;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
7N;ago/18;jun/20;;Sim;New Life;;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;;;;
5NA;fev/18;dez/19;;Sim;New Life;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Concluido;Reprovado;Em anatomia e fisiologia humana,Enf clinica medica cirurgica,Farmacologia I,Introdução a enfermagem,;;;;;;Sim;;;;
8N;fev/19;dez/20;Sim;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;Sim;Morumbi - Unidade de Internação;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
8NA/8NB;fev/19;dez/20;Sim;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;Sim;Morumbi - Unidade de Internação;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Concluido;Aprovado;;;;;;;;;;;
6N;fev/18;dez/19;Sim;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
6MA/6MB;fev/19;dez/20;Sim;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Morumbi - UTI;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
6MA/6MB;fev/19;dez/20;;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;Não;Centro Cirúrgico;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Concluido;Aprovado;;;;;;;;;;;
6T;fev/19;dez/20;;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;Não;Centro Cirúrgico;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
8N;fev/19;dez/20;;Sim;Hospital Metropolitano da Lapa;;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Ativo;Aprovado;;;;;;;;;;;
5MB;jan/18;dez/19;;Sim;HMVSC;;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Ativo;Cancelado;;;;;;;Sim;;;;
4MC;jan/17;dez/18;;Sim;Hospital Metropolitano da Lapa;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Ativo;Aprovado;;;;;;;;;;;
8N;fev/19;dez/20;Sim;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Morumbi - Semi/UTI;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
8NA/8NB;fev/19;dez/20;Sim;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Morumbi - Semi/UTI;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Concluido;Aprovado;;;;;;;;;;;
6T;fev/19;dez/20;Sim;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;Morumbi - Hospitalista;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
5MA;jan/18;dez/19;;Sim;Hospital Personal;;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
6N;jan/18;dez/19;;Sim;Hospital Personal;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Concluido;Aprovado;;;;;;;;;;;
6N;fev/18;dez/19;;Sim;Hospital São Camilo;Auxiliar de Enfermagem;Técnico de Enfermagem;UTI;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
8N;fev/19;dez/20;Sim;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Morumbi;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
8NA/8NB;fev/19;dez/20;Sim;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Morumbi;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Concluido;Aprovado;;;;;;;;;;;
5MA;jan/18;dez/19;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;Técnica de Enfermagem;Coleta - Morumbi;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
5MB;jan/18;dez/19;Sim;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;Técnico de Enfermagem;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;;;;
6MA/6MB;fev/19;dez/20;Sim;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;Morumbi - Day Clinic;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Concluido;Aprovado;;;;;;;;;;;
6T;fev/19;dez/20;Sim;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;Morumbi - Day Clinic;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
8N;fev/19;dez/20;Sim;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;Morumbi - UTI;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
8NA/8NB;fev/19;dez/20;Sim;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;Morumbi - UTI;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Concluido;Aprovado;;;;;;;;;;;
ENF20T1S;fev/20;dez/21;Sim;Sim;Hospital Israelita Albert Einstein;Tecnico Enfermagem;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;05dez: Procura emprego na área, tem vontade de trabalhar no einstein;Sim;Sim;Sim;;
ENF21M2S;ago/21;jun/23;Sim;Sim;Hospital Israelita Albert Einstein;Tecnico Enfermagem;;Perdizes, Pronto Atendimento;Curso Técnico de Enfermagem;Técnico de Enfermagem;Concluido;Aprovado;;;;;;;;;;;
6T;fev/19;dez/20;Sim;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;Unidade Internação 10º andar;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
7M;ago/19;jun/21;Sim;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Time Multiprofissional de Hospitalistas;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado ;;;;;;;;;;;
7N;ago/18;jun/20;Sim;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Consultórios de Enfermagem;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;;;;
6N;fev/18;dez/19;Sim;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Consultórios de Enfermagem;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Concluido;Reprovado ;Por nota no estágio de PAI I ;;;;;;Sim;;;;
6N;fev/18;dez/19;;Sim;Hospital Israelita Albert Einstein;;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
7M;ago/19;jun/21;;Sim;Hospital Paulista;Técnico de Enfermagem;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado ;;;;;;;;;;;
ENF EURO 3T;ago/18;jun/20;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Morumbi - Hospitalistas;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
5MA;jan/18;dez/19;Sim;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;Técnico de Enfermagem;Centro Cirúrgico;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
ENF21N1S;fev/21;dez/22;Sim;Sim;Hospital Israelita Albert Einstein;Auxiliar Enfermagem;;Transplantes;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;Einstein;sim
5MB;jan/18;dez/19;;Sim;FUABC;;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;;;;
8N;fev/19;dez/20;;Sim;Hospital Israelita Albert Einstein;Assistente Atendimento II;;MDA;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
9N;ago/19;jun/21;;Não;;Assistente Atendimento II ;;MDA;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Concluido;Aprovado;;;;;;;;;;;
6N;fev/18;dez/19;;Sim;Hospital Israelita Albert Einstein;Assistente Atendimento II;;MDA;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Concluido;Aprovado;;;;;;;;;;;
6MA/6MB;fev/19;dez/20;;Sim;Santa Casa;;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
6N;fev/18;dez/19;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;Técnico de Enfermagem;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
8N;fev/19;dez/20;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;Técnico em Enfermagem;Internação;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
8NA/8NB;fev/19;dez/20;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;Técnico em Enfermagem;Internação;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Concluido;Aprovado;;;;;;;;;;;
5T;jan/18;dez/19;;Sim;Hospital São Luiz/Rede D'Or;Auxiliar de Enfermagem;Técnico de Enfermagem;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
5MA;jan/18;dez/19;;Sim;Hospital Israelita Albert Einstein;;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
9N;ago/19;jun/21;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;;;;
7N;ago/18;jun/20;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Morumbi - Unidade de Internação;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;;;;
ENF EURO 4T;ago/20;jun/22;Sim;Sim;Hospital Israelita Albert Einstein;Auxiliar Enfermagem;;Neurologia, 4° D;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;Extra na Neuro 10º andar Bloco D;Sim;;Sim;Einstein;sim
7N;ago/18;jun/20;;Sim;HMVSC;Auxiliar de Enfermagem;Técnico em Enfermagem;Oncologia;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;;;;
ENF EURO 3T;ago/18;jun/20;;Sim;Hospital Sírio Libanês;;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
9N;ago/19;jun/21;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;Técnico em Enfermagem;Morumbi - Transporte de Pacientes;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;;;;
7M;ago/19;jun/21;;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;TE - Unidade de internação - 12ºD;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado ;;;;;;;;;;;
9N;ago/19;jun/21;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;Técnico em Enfermagem;Morumbi - Unidade de Internação/Ortopedia;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;;;;
ENF21M2S;ago/21;jun/23;;Não;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Cancelado;;Motivos Pessoais;01/03/2022;;;;;;;;
ENF EURO 3T;ago/18;jun/20;;Sim;HMVSC;Técnico de Enfermagem;;UPA;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
6N;fev/18;dez/19;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;Técnico de Enfermagem;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
9N;ago/19;jun/21;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;Técnico em Enfermagem;Morumbi - Unidade de Internação/Geriatria;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;;;;
5MB;jan/18;dez/19;;Sim;Hospital Israelita Albert Einstein;;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;;;;
7N;ago/18;jun/20;;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;Morumbi - UTI;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;;;;
8N;fev/19;dez/20;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Morumbi ;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
8NA/8NB;fev/19;dez/20;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Morumbi ;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Concluido;Aprovado;;;;;;;;;;;
7M;ago/19;jun/21;;Sim;Hospital Sepaco;Auxiliar de Enfermagem;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado ;;;;;;;;;;;
5T;jan/18;dez/19;;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
6N;fev/18;dez/19;;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Concluido;Aprovado;;;;;;;;;;;
6MA/6MB;fev/19;dez/20;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Urologia;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
6T;fev/19;dez/20;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Urologia;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Concluido;Aprovado;;;;;;;;;;;
7N;ago/18;jun/20;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Consultórios de Enfermagem;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;;;;
6N;fev/18;dez/19;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Consultórios de Enfermagem;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Concluido;Reprovado ;Por nota no estágio de PAI I ;;;;;;Sim;;;;
7M;ago/19;jun/21;;Não;;;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Cancelado;Cancelado;;Saúde ;05/06/2021;;;;;;;;
5MA;jan/18;dez/19;;Sim;Hospital Israelita Albert Einstein;;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
8N;fev/19;dez/20;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Morumbi - Semi Intensiva;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
9N;ago/19;jun/21;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Coleta;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;;;;
9N;ago/19;jun/21;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Morumbi - Unidade de Internação;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;;;;
6N;fev/18;dez/19;;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
5MA;jan/18;dez/19;;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;Não;Oncologia;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
8N;fev/19;dez/20;;Não;;;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;número inexistente;;;;;
6MA/6MB;fev/19;dez/20;;Sim;Hospital das Clínicas;;;UTI;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
5T;jan/18;dez/19;;;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Concluido;Aprovado;;;;;;Cursou apenas o AE/Concluiu o técnico de Enfermagem na turma 6MA;;;;;
ENF20N2S;ago/20;jun/22;;Sim;Hospital da Criança;Técnico Enfermagem;;Pronto Socorro Infantil;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;Foi empregada na pediatria do HMVSC e foi desligada;Sim;;;;sim
